1	 2 4 6 10 15 16 22 23 27 40 42 46 49 50
2	 32 35 38 39 42 45 48 49
3	 1 2 7 8 9 10 11 18 19 21 22 24 25 27 34 36 40 41 44 45
4	 3 15 20 29 40 47 48 49
5	 7 19 26 28 33 35 40 41 42 44 47 49
6	 5 7 9 13 14 17 19 22 23 27 29 31 40 43 44 45 47 49
7	 6 11 15 17 18 19 23 25 26 27 29 32 33 34 39 40 41 43 45 49
8	 6 11 12 13 14 22 26 34 38 40 49
9	 4 7 10 11 22 24 25 27 29 35 39 42 47
10	 8 11 12 14 17 19 20 24 26 30 33 34 39
11	 14 18 23 34 36 42
12	 4 16 21 26 43
13	 1 26 27 30 47
14	 3 6 8 9 10 11 17 20 25 26 27 28 30 33 35 37 40 43 44 50
15	 1 3 4 5 7 13 18 20 23 24 26 27 29 30 31 33 37 41
16	 45 49
17	 31 33 35
18	 1 7 13 14 16 21 22 27 30 34 39
19	 2 4 16 17 18 21 22 24 26 28 29 33 38 39 41 43 45 47 49
20	 3 4 9 10 19 22 23 24 25 29 32 33 40 42 46 49 50
21	 1 4 13 15 23 25 32 37 40 41 44 46
22	 1 6 11 12 14 16 18 19 20 21 24 26 33 36 37 40 45 48 49 50
23	 3 4 8 9 11 17 18 19 21 27 30 36 37 40 44 49
24	 1 4 6 7 8 12 14 15 18 30 32 36 40 42 45 46
25	 1 2 7 10 11 13 15 17 19 20 21 29 32 42 43 48
26	 1 5 9 14 17 21 24 30 31 38 40 42
27	 19 28 36 37 44 47
28	 12 15 19 23 25 27 35 39 45 50
29	 2 24
30	 5 11 17 33 35
31	 6 7 8 19 22 23 27 32 36 40 46
32	 5 8 9 10 13 16 17 21 25 38 45
33	 8 21 43
34	 2 4 7 8 9 14 16 17 19 20 24 25 27 36 41 42 43 45 47 50
35	 1 2 6 7 9 10 19 22 23 30 33 34 36 40 44 46 49
36	 7 14 15 16 17 19 22 23 31 43 47 50
37	 1 5 11 12 21 23 24 29
38	 2 9 17 18 21 25 36 43 47 49 50
39	 23 27 33 38 45 46
40	 3 8 33 38
41	 12
42	 6 23 26 33
43	 3 7 9 15 19 20 23 24 26 31 34 35 36 37 40 49 50
44	 1 2 3 9 11 13 15 19 29 30 31 36 37 38 47 49
45	 9 23 24 28 35 50
46	 4 5 16 21 27 43 49
47	 38
48	 13
49	 1 2 3 7 12 16 21 24 34 38 39 46 48 50
50	 1 5 7 8 10 11 12 14 17 18 23 24 27 37 42 48
